lesmis/lesmis_0001.wav|Chapitre I La Charybde du faubourg Saint-Antoine et la Scylla du faubourg du Temple|Chapitre I La Charybde du faubourg Saint-Antoine et la Scylla du faubourg du Temple|7.63
lesmis/lesmis_1562.wav|Rendez cela au grand creuset; votre abondance en sortira. La nutrition des plaines fait la nourriture des hommes.|Rendez cela au grand creuset; votre abondance en sortira. La nutrition des plaines fait la nourriture des hommes.|8.53
lesmis/lesmis_1563.wav|Vous êtes maîtres de perdre cette richesse, et de me trouver ridicule par-dessus le marché.|Vous êtes maîtres de perdre cette richesse, et de me trouver ridicule par-dessus le marché.|5.61
lesmis/lesmis_1564.wav|Ce sera là le chef-d'oeuvre de votre ignorance.|Ce sera là le chef-d'oeuvre de votre ignorance.|4.46
lesmis/lesmis_1565.wav|La statistique a calculé que la France à elle seule fait tous les ans à l'Atlantique par la bouche de ses rivières un versement d'un demi-milliard.|La statistique a calculé que la France à elle seule fait tous les ans à l'Atlantique par la bouche de ses rivières un versement d'un demi-milliard.|9.45
lesmis/lesmis_1566.wav|Notez ceci: avec ces cinq cents millions on payerait le quart des dépenses du budget.|Notez ceci: avec ces cinq cents millions on payerait le quart des dépenses du budget.|7.02
lesmis/lesmis_1567.wav|L'habileté de l'homme est telle qu'il aime mieux se débarrasser de ces cinq cents millions dans le ruisseau. C'est la substance même du peuple qu'emportent,|L'habileté de l'homme est telle qu'il aime mieux se débarrasser de ces cinq cents millions dans le ruisseau. C'est la substance même du peuple qu'emportent,|8.99
lesmis/lesmis_1568.wav|ici goutte à goutte, là à flots, le misérable vomissement de nos égouts dans les fleuves et le gigantesque vomissement de nos fleuves dans l'océan.|ici goutte à goutte, là à flots, le misérable vomissement de nos égouts dans les fleuves et le gigantesque vomissement de nos fleuves dans l'océan.|9.6
lesmis/lesmis_1569.wav|Chaque hoquet de nos cloaques nous coûte mille francs. À cela deux résultats: la terre appauvrie et l'eau empestée.|Chaque hoquet de nos cloaques nous coûte mille francs. cela deux résultats: la terre appauvrie et l'eau empestée.|9.21
lesmis/lesmis_1570.wav|La faim sortant du sillon et la maladie sortant du fleuve.|La faim sortant du sillon et la maladie sortant du fleuve.|5.11
lesmis/lesmis_1571.wav|Il est notoire, par exemple, qu'à cette heure, la Tamise empoisonne Londres. Pour ce qui est de Paris,|Il est notoire, par exemple, qu'à cette heure, la Tamise empoisonne Londres. Pour ce qui est de Paris,|7.31
lesmis/lesmis_1572.wav|on a dû, dans ces derniers temps, transporter la plupart des embouchures d'égouts en aval au-dessous du dernier pont.|on a dû, dans ces derniers temps, transporter la plupart des embouchures d'égouts en aval au-dessous du dernier pont.|7.54
lesmis/lesmis_1573.wav|Un double appareil tubulaire, pourvu de soupapes et d'écluses de chasse, aspirant et refoulant, un système de drainage élémentaire, simple comme le poumon de l'homme, et qui est déjà en pleine fonction dans plusieurs communes d'Angleterre, suffirait pour amener dans nos villes l'eau pure des champs et pour renvoyer dans nos champs l'eau riche des villes,|Un double appareil tubulaire, pourvu de soupapes et d'écluses de chasse, aspirant et refoulant, un système de drainage élémentaire, simple comme le poumon de l'homme, et qui est déjà en pleine fonction dans plusieurs communes d'Angleterre, suffirait pour amener dans nos villes l'eau pure des champs et pour renvoyer dans nos champs l'eau riche des villes,|22.72
lesmis/lesmis_1574.wav|et ce facile va-et-vient, le plus simple du monde, retiendrait chez nous les cinq cents millions jetés dehors. On pense à autre chose.|et ce facile va-et-vient, le plus simple du monde, retiendrait chez nous les cinq cents millions jetés dehors. On pense à autre chose.|9.78
lesmis/lesmis_1575.wav|Le procédé actuel fait le mal en voulant faire le bien. L'intention est bonne, le résultat est triste. On croit expurger la ville,|Le procédé actuel fait le mal en voulant faire le bien. L'intention est bonne, le résultat est triste. On croit expurger la ville,|9.87
lesmis/lesmis_1576.wav|on étiole la population. Un égout est un malentendu.|on étiole la population. Un égout est un malentendu.|5.53
lesmis/lesmis_1577.wav|Quand partout le drainage, avec sa fonction double, restituant ce qu'il prend, aura remplacé l'égout, simple lavage appauvrissant, alors, ceci étant combiné avec les données d'une économie sociale nouvelle, le produit de la terre sera décuplé,|Quand partout le drainage, avec sa fonction double, restituant ce qu'il prend, aura remplacé l'égout, simple lavage appauvrissant, alors, ceci étant combiné avec les données d'une économie sociale nouvelle, le produit de la terre sera décuplé,|16.44
lesmis/lesmis_1578.wav|et le problème de la misère sera singulièrement atténué. Ajoutez la suppression des parasitismes, il sera résolu.|et le problème de la misère sera singulièrement atténué. Ajoutez la suppression des parasitismes, il sera résolu.|9.44
lesmis/lesmis_1579.wav|En attendant, la richesse publique s'en va à la rivière, et le coulage a lieu. Coulage est le mot.|En attendant, la richesse publique s'en va à la rivière, et le coulage a lieu. Coulage est le mot.|7.74
lesmis/lesmis_1580.wav|L'Europe se ruine de la sorte par épuisement. Quant à la France, nous venons de dire son chiffre. Or,|L'Europe se ruine de la sorte par épuisement. Quant à la France, nous venons de dire son chiffre. Or,|7.78
lesmis/lesmis_1581.wav|Paris contenant le vingt-cinquième de la population française totale, et le guano parisien étant le plus riche de tous, on reste au-dessous de la vérité en évaluant à vingt-cinq millions la part de perte de Paris dans le demi-milliard que la France refuse annuellement.|Paris contenant le vingt-cinquième de la population française totale, et le guano parisien étant le plus riche de tous, on reste au-dessous de la vérité en évaluant à vingt-cinq millions la part de perte de Paris dans le demi-milliard que la France refuse annuellement.|16.53
lesmis/lesmis_1582.wav|Ces vingt-cinq millions, employés en assistance et en jouissance, doubleraient la splendeur de Paris. La ville les dépense en cloaques.|Ces vingt-cinq millions, employés en assistance et en jouissance, doubleraient la splendeur de Paris. La ville les dépense en cloaques.|9.63
lesmis/lesmis_1583.wav|De sorte qu'on peut dire que la grande prodigalité de Paris, sa fête merveilleuse, sa Folie-Beaujon, son orgie,|De sorte qu'on peut dire que la grande prodigalité de Paris, sa fête merveilleuse, sa Folie-Beaujon, son orgie,|8.97
lesmis/lesmis_1584.wav|son ruissellement d'or à pleines mains, son faste, son luxe, sa magnificence, c'est son égout.|son ruissellement d'or à pleines mains, son faste, son luxe, sa magnificence, c'est son égout.|8.28
lesmis/lesmis_1585.wav|C'est de cette façon que, dans la cécité d'une mauvaise économie politique,|C'est de cette façon que, dans la cécité d'une mauvaise économie politique,|4.81
lesmis/lesmis_1586.wav|on noie et on laisse aller à vau-l'eau et se perdre dans les gouffres le bien-être de tous.|on noie et on laisse aller à vau-l'eau et se perdre dans les gouffres le bien-être de tous.|6.97
lesmis/lesmis_1587.wav|Il devrait y avoir des filets de Saint-Cloud pour la fortune publique. Économiquement, le fait peut se résumer ainsi:|Il devrait y avoir des filets de Saint-Cloud pour la fortune publique. conomiquement, le fait peut se résumer ainsi:|9.37
lesmis/lesmis_1588.wav|Paris panier percé.|Paris panier percé.|3.2
lesmis/lesmis_1589.wav|Paris, cette cité modèle, ce patron des capitales bien faites dont chaque peuple tâche d'avoir une copie,|Paris, cette cité modèle, ce patron des capitales bien faites dont chaque peuple tâche d'avoir une copie,|7.35
lesmis/lesmis_1590.wav|cette métropole de l'idéal, cette patrie auguste de l'initiative, de l'impulsion et de l'essai, ce centre et ce lieu des esprits,|cette métropole de l'idéal, cette patrie auguste de l'initiative, de l'impulsion et de l'essai, ce centre et ce lieu des esprits,|8.96
lesmis/lesmis_1591.wav|cette ville nation, cette ruche de l'avenir, ce composé merveilleux de Babylone et de Corinthe, ferait,|cette ville nation, cette ruche de l'avenir, ce composé merveilleux de Babylone et de Corinthe, ferait,|8.43
lesmis/lesmis_1592.wav|au point de vue que nous venons de signaler, hausser les épaules à un paysan du Fo-Kian.|au point de vue que nous venons de signaler, hausser les épaules à un paysan du Fo-Kian.|6.69
lesmis/lesmis_1593.wav|Imitez Paris, vous vous ruinerez. Au reste, particulièrement en ce gaspillage immémorial et insensé,|Imitez Paris, vous vous ruinerez. Au reste, particulièrement en ce gaspillage immémorial et insensé,|8.64
lesmis/lesmis_1594.wav|Paris lui-même imite. Ces surprenantes inepties ne sont pas nouvelles; ce n'est point là de la sottise jeune.|Paris lui-même imite. Ces surprenantes inepties ne sont pas nouvelles; ce n'est point là de la sottise jeune.|8.57
lesmis/lesmis_1595.wav|Les anciens agissaient comme les modernes. «Les cloaques de Rome, dit Liebig, ont absorbé tout le bien-être du paysan romain.»|Les anciens agissaient comme les modernes. Les cloaques de Rome, dit Liebig, ont absorbé tout le bien-être du paysan romain.|9.5
lesmis/lesmis_1596.wav|Quand la campagne de Rome fut ruinée par l'égout romain, Rome épuisa l'Italie,|Quand la campagne de Rome fut ruinée par l'égout romain, Rome épuisa l'Italie,|5.8
lesmis/lesmis_1597.wav|et quand elle eut mis l'Italie dans son cloaque, elle y versa la Sicile, puis la Sardaigne, puis l'Afrique.|et quand elle eut mis l'Italie dans son cloaque, elle y versa la Sicile, puis la Sardaigne, puis l'Afrique.|7.76
lesmis/lesmis_1598.wav|L'égout de Rome a engouffré le monde. Ce cloaque offrait son engloutissement à la cité et à l'univers. _Urbi et orbi_.|L'égout de Rome a engouffré le monde. Ce cloaque offrait son engloutissement à la cité et à l'univers. Urbi et orbi .|9.92
lesmis/lesmis_1599.wav|Ville éternelle, égout insondable. Pour ces choses-là comme pour d'autres, Rome donne l'exemple.|Ville éternelle, égout insondable. Pour ces choses-là comme pour d'autres, Rome donne l'exemple.|9.06
lesmis/lesmis_1600.wav|Cet exemple, Paris le suit, avec toute la bêtise propre aux villes d'esprit.|Cet exemple, Paris le suit, avec toute la bêtise propre aux villes d'esprit.|6.29
lesmis/lesmis_1601.wav|Pour les besoins de l'opération sur laquelle nous venons de nous expliquer, Paris a sous lui un autre Paris; un Paris d'égouts;|Pour les besoins de l'opération sur laquelle nous venons de nous expliquer, Paris a sous lui un autre Paris; un Paris d'égouts;|8.13
lesmis/lesmis_1602.wav|lequel a ses rues, ses carrefours, ses places, ses impasses, ses artères, et sa circulation,|lequel a ses rues, ses carrefours, ses places, ses impasses, ses artères, et sa circulation,|7.49
lesmis/lesmis_1603.wav|qui est de la fange, avec la forme humaine de moins. Car il ne faut rien flatter, pas même un grand peuple;|qui est de la fange, avec la forme humaine de moins. Car il ne faut rien flatter, pas même un grand peuple;|8.36
lesmis/lesmis_1604.wav|là où il y a tout, il y a l'ignominie à côté de la sublimité; et, si Paris contient Athènes, la ville de lumière,|là où il y a tout, il y a l'ignominie à côté de la sublimité; et, si Paris contient Athènes, la ville de lumière,|8.65
lesmis/lesmis_1605.wav|Tyr, la ville de puissance, Sparte, la ville de vertu, Ninive, la ville de prodige,|Tyr, la ville de puissance, Sparte, la ville de vertu, Ninive, la ville de prodige,|7.01
lesmis/lesmis_1606.wav|il contient aussi Lutèce, la ville de boue. D'ailleurs le cachet de sa puissance est là aussi,|il contient aussi Lutèce, la ville de boue. D'ailleurs le cachet de sa puissance est là aussi,|7.4
lesmis/lesmis_1607.wav|et la titanique sentine de Paris réalise, parmi les monuments,|et la titanique sentine de Paris réalise, parmi les monuments,|4.56
lesmis/lesmis_1608.wav|cet idéal étrange réalisé dans l'humanité par quelques hommes tels que Machiavel, Bacon et Mirabeau, le grandiose abject.|cet idéal étrange réalisé dans l'humanité par quelques hommes tels que Machiavel, Bacon et Mirabeau, le grandiose abject.|9.73
lesmis/lesmis_1609.wav|Le sous-sol de Paris, si l'oeil pouvait en pénétrer la surface, présenterait l'aspect d'un madrépore colossal.|Le sous-sol de Paris, si l'oeil pouvait en pénétrer la surface, présenterait l'aspect d'un madrépore colossal.|7.77
lesmis/lesmis_1610.wav|Une éponge n'a guère plus de pertuis et de couloirs que la motte de terre de six lieues de tour sur laquelle repose l'antique grande ville.|Une éponge n'a guère plus de pertuis et de couloirs que la motte de terre de six lieues de tour sur laquelle repose l'antique grande ville.|9.11
lesmis/lesmis_1611.wav|Sans parler des catacombes, qui sont une cave à part, sans parler de l'inextricable treillis des conduits du gaz,|Sans parler des catacombes, qui sont une cave à part, sans parler de l'inextricable treillis des conduits du gaz,|7.72
lesmis/lesmis_1612.wav|sans compter le vaste système tubulaire de la distribution d'eau vive qui aboutit aux bornes-fontaines,|sans compter le vaste système tubulaire de la distribution d'eau vive qui aboutit aux bornes-fontaines,|6.7
lesmis/lesmis_1613.wav|les égouts à eux seuls font sous les deux rives un prodigieux réseau ténébreux; labyrinthe qui a pour fil sa pente.|les égouts à eux seuls font sous les deux rives un prodigieux réseau ténébreux; labyrinthe qui a pour fil sa pente.|9.18
lesmis/lesmis_1614.wav|Là apparaît, dans la brume humide, le rat, qui semble le produit de l'accouchement de Paris.|Là apparaît, dans la brume humide, le rat, qui semble le produit de l'accouchement de Paris.|8.64
lesmis/lesmis_1615.wav|Livre deuxième--L'intestin de Léviathan Chapitre II L'histoire ancienne de l'égout|Livre deuxième--L'intestin de Léviathan Chapitre II L'histoire ancienne de l'égout|8.23
lesmis/lesmis_1616.wav|Qu'on s'imagine Paris ôté comme un couvercle, le réseau souterrain des égouts, vu à vol d'oiseau,|Qu'on s'imagine Paris ôté comme un couvercle, le réseau souterrain des égouts, vu à vol d'oiseau,|7.11
lesmis/lesmis_1617.wav|dessinera sur les deux rives une espèce de grosse branche greffée au fleuve. Sur la rive droite l'égout de ceinture sera le tronc de cette branche,|dessinera sur les deux rives une espèce de grosse branche greffée au fleuve. Sur la rive droite l'égout de ceinture sera le tronc de cette branche,|9.89
lesmis/lesmis_1618.wav|les conduits secondaires seront les rameaux et les impasses seront les ramuscules. Cette figure n'est que sommaire et à demi exacte,|les conduits secondaires seront les rameaux et les impasses seront les ramuscules. Cette figure n'est que sommaire et à demi exacte,|9.23
lesmis/lesmis_1619.wav|l'angle droit, qui est l'angle habituel de ce genre de ramifications souterraines, étant très rare dans la végétation.|l'angle droit, qui est l'angle habituel de ce genre de ramifications souterraines, étant très rare dans la végétation.|8.3
lesmis/lesmis_1620.wav|On se fera une image plus ressemblante de cet étrange plan géométral en supposant qu'on voie à plat sur un fond de ténèbres quelque bizarre alphabet d'orient brouillé comme un fouillis,|On se fera une image plus ressemblante de cet étrange plan géométral en supposant qu'on voie à plat sur un fond de ténèbres quelque bizarre alphabet d'orient brouillé comme un fouillis,|11.75
lesmis/lesmis_1621.wav|et dont les lettres difformes seraient soudées les unes aux autres,|et dont les lettres difformes seraient soudées les unes aux autres,|3.78
lesmis/lesmis_1622.wav|dans un pêle-mêle apparent et comme au hasard, tantôt par leurs angles, tantôt par leurs extrémités.|dans un pêle-mêle apparent et comme au hasard, tantôt par leurs angles, tantôt par leurs extrémités.|7.17
lesmis/lesmis_1623.wav|Les sentines et les égouts jouaient un grand rôle au Moyen-Âge,|Les sentines et les égouts jouaient un grand rôle au Moyen- ge,|3.46
lesmis/lesmis_1624.wav|au Bas-Empire et dans ce vieil Orient. La peste y naissait, les despotes y mouraient.|au Bas-Empire et dans ce vieil Orient. La peste y naissait, les despotes y mouraient.|6.84
lesmis/lesmis_1625.wav|Les multitudes regardaient presque avec une crainte religieuse ces lits de pourriture, monstrueux berceaux de la Mort.|Les multitudes regardaient presque avec une crainte religieuse ces lits de pourriture, monstrueux berceaux de la Mort.|7.71
lesmis/lesmis_1626.wav|La fosse aux vermines de Bénarès n'est pas moins vertigineuse que la fosse aux lions de Babylone.|La fosse aux vermines de Bénarès n'est pas moins vertigineuse que la fosse aux lions de Babylone.|6.52
lesmis/lesmis_1627.wav|Téglath-Phalasar, au dire des livres rabbiniques, jurait par la sentine de Ninive,|Téglath-Phalasar, au dire des livres rabbiniques, jurait par la sentine de Ninive,|6.41
lesmis/lesmis_1628.wav|C'est de l'égout de Munster que Jean de Leyde faisait sortir sa fausse lune, et c'est du puits-cloaque|C'est de l'égout de Munster que Jean de Leyde faisait sortir sa fausse lune, et c'est du puits-cloaque|7.67
lesmis/lesmis_1629.wav|de Kekhscheb que son ménechme oriental, Mokannâ, le prophète voilé du Khorassan, faisait sortir son faux soleil.|de Kekhscheb que son ménechme oriental, Mokannâ, le prophète voilé du Khorassan, faisait sortir son faux soleil.|9.68
lesmis/lesmis_1630.wav|L'histoire des hommes se reflète dans l'histoire des cloaques. Les gémonies racontaient Rome.|L'histoire des hommes se reflète dans l'histoire des cloaques. Les gémonies racontaient Rome.|5.99
lesmis/lesmis_1631.wav|L'égout de Paris a été une vieille chose formidable. Il a été sépulcre, il a été asile. Le crime, l'intelligence,|L'égout de Paris a été une vieille chose formidable. Il a été sépulcre, il a été asile. Le crime, l'intelligence,|9.87
lesmis/lesmis_1632.wav|la protestation sociale, la liberté de conscience, la pensée, le vol, tout ce que les lois humaines poursuivent ou ont poursuivi,|la protestation sociale, la liberté de conscience, la pensée, le vol, tout ce que les lois humaines poursuivent ou ont poursuivi,|9.62
lesmis/lesmis_1633.wav|s'est caché dans ce trou; les maillotins au quatorzième siècle, les tire-laine au quinzième, les huguenots au seizième,|s'est caché dans ce trou; les maillotins au quatorzième siècle, les tire-laine au quinzième, les huguenots au seizième,|9.47
lesmis/lesmis_1634.wav|les illuminés de Morin au dix-septième, les chauffeurs au dix-huitième. Il y a cent ans, le coup de poignard nocturne en sortait,|les illuminés de Morin au dix-septième, les chauffeurs au dix-huitième. Il y a cent ans, le coup de poignard nocturne en sortait,|9.91
lesmis/lesmis_1635.wav|le filou en danger y glissait; le bois avait la caverne, Paris avait l'égout.|le filou en danger y glissait; le bois avait la caverne, Paris avait l'égout.|6.91
lesmis/lesmis_1636.wav|La truanderie, cette _picareria_ gauloise, acceptait l'égout comme succursale de la Cour des Miracles, et|La truanderie, cette picareria gauloise, acceptait l'égout comme succursale de la Cour des Miracles, et|7.34
lesmis/lesmis_1637.wav|le soir, narquoise et féroce, rentrait sous le vomitoire Maubuée comme dans une alcôve.|le soir, narquoise et féroce, rentrait sous le vomitoire Maubuée comme dans une alcôve.|8.79
lesmis/lesmis_1638.wav|Il était tout simple que ceux qui avaient pour lieu de travail quotidien le cul-de-sac Vide-Gousset ou la rue Coupe-Gorge eussent pour domicile nocturne le ponceau du Chemin-Vert ou le cagnard Hurepoix.|Il était tout simple que ceux qui avaient pour lieu de travail quotidien le cul-de-sac Vide-Gousset ou la rue Coupe-Gorge eussent pour domicile nocturne le ponceau du Chemin-Vert ou le cagnard Hurepoix.|13.37
lesmis/lesmis_1639.wav|De là un fourmillement de souvenirs. Toutes sortes de fantômes hantent ces longs corridors solitaires;|De là un fourmillement de souvenirs. Toutes sortes de fantômes hantent ces longs corridors solitaires;|6.97
lesmis/lesmis_1640.wav|partout la putridité et le miasme; çà et là un soupirail où Villon dedans cause avec Rabelais dehors.|partout la putridité et le miasme; çà et là un soupirail où Villon dedans cause avec Rabelais dehors.|9.61
lesmis/lesmis_1641.wav|L'égout, dans l'ancien Paris, est le rendez-vous de tous les épuisements et de tous les essais.|L'égout, dans l'ancien Paris, est le rendez-vous de tous les épuisements et de tous les essais.|5.44
lesmis/lesmis_1642.wav|L'économie politique y voit un détritus, la philosophie sociale y voit un résidu. L'égout, c'est la conscience de la ville.|L'économie politique y voit un détritus, la philosophie sociale y voit un résidu. L'égout, c'est la conscience de la ville.|9.06
lesmis/lesmis_1643.wav|Tout y converge, et s'y confronte. Dans ce lieu livide, il y a des ténèbres, mais il n'y a plus de secrets.|Tout y converge, et s'y confronte. Dans ce lieu livide, il y a des ténèbres, mais il n'y a plus de secrets.|8.49
lesmis/lesmis_1644.wav|Chaque chose a sa forme vraie, ou du moins sa forme définitive. Le tas d'ordures a cela pour lui qu'il n'est pas menteur.|Chaque chose a sa forme vraie, ou du moins sa forme définitive. Le tas d'ordures a cela pour lui qu'il n'est pas menteur.|8.18
lesmis/lesmis_1645.wav|La naïveté s'est réfugiée là. Le masque de Basile s'y trouve, mais on en voit le carton, et les ficelles, et le dedans comme le dehors,|La naïveté s'est réfugiée là. Le masque de Basile s'y trouve, mais on en voit le carton, et les ficelles, et le dedans comme le dehors,|9.96
lesmis/lesmis_1646.wav|et il est accentué d'une boue honnête. Le faux nez de Scapin l'avoisine.|et il est accentué d'une boue honnête. Le faux nez de Scapin l'avoisine.|5.68
lesmis/lesmis_1647.wav|Toutes les malpropretés de la civilisation, une fois hors de service, tombent dans cette fosse de vérité où aboutit l'immense glissement social.|Toutes les malpropretés de la civilisation, une fois hors de service, tombent dans cette fosse de vérité où aboutit l'immense glissement social.|9.41
lesmis/lesmis_1648.wav|Elles s'y engloutissent, mais elles s'y étalent. Ce pêle-mêle est une confession. Là, plus de fausse apparence,|Elles s'y engloutissent, mais elles s'y étalent. Ce pêle-mêle est une confession. Là, plus de fausse apparence,|7.98
lesmis/lesmis_1649.wav|aucun plâtrage possible, l'ordure ôte sa chemise, dénudation absolue, déroute des illusions et des mirages,|aucun plâtrage possible, l'ordure ôte sa chemise, dénudation absolue, déroute des illusions et des mirages,|9.55
lesmis/lesmis_1650.wav|plus rien que ce qui est, faisant la sinistre figure de ce qui finit. Réalité et disparition.|plus rien que ce qui est, faisant la sinistre figure de ce qui finit. Réalité et disparition.|8.0
lesmis/lesmis_1651.wav|Là, un cul de bouteille avoue l'ivrognerie, une anse de panier raconte la domesticité;|Là, un cul de bouteille avoue l'ivrognerie, une anse de panier raconte la domesticité;|6.22
lesmis/lesmis_1652.wav|là, le trognon de pomme qui a eu des opinions littéraires redevient le trognon de pomme; l'effigie du gros sou se vert-de-grise franchement,|là, le trognon de pomme qui a eu des opinions littéraires redevient le trognon de pomme; l'effigie du gros sou se vert-de-grise franchement,|9.53
lesmis/lesmis_1653.wav|le crachat de Caïphe rencontre le vomissement de Falstaff,|le crachat de Caïphe rencontre le vomissement de Falstaff,|4.65
lesmis/lesmis_1654.wav|le louis d'or qui sort du tripot heurte le clou où pend le bout de corde du suicide,|le louis d'or qui sort du tripot heurte le clou où pend le bout de corde du suicide,|5.38
lesmis/lesmis_1655.wav|un foetus livide roule enveloppé dans des paillettes qui ont dansé le mardi gras dernier à l'Opéra,|un foetus livide roule enveloppé dans des paillettes qui ont dansé le mardi gras dernier à l'Opéra,|6.76
lesmis/lesmis_1656.wav|une toque qui a jugé les hommes se vautre près d'une pourriture qui a été la jupe de Margoton;|une toque qui a jugé les hommes se vautre près d'une pourriture qui a été la jupe de Margoton;|6.74
lesmis/lesmis_1657.wav|c'est plus que de la fraternité, c'est du tutoiement. Tout ce qui se fardait se barbouille.|c'est plus que de la fraternité, c'est du tutoiement. Tout ce qui se fardait se barbouille.|6.52
lesmis/lesmis_1658.wav|Le dernier voile est arraché. Un égout est un cynique. Il dit tout. Cette sincérité de l'immondice nous plaît,|Le dernier voile est arraché. Un égout est un cynique. Il dit tout. Cette sincérité de l'immondice nous plaît,|8.93
lesmis/lesmis_1659.wav|et repose l'âme.|et repose l'âme.|1.62
lesmis/lesmis_1660.wav|Quand on a passé son temps à subir sur la terre le spectacle des grands airs que prennent la raison d'état, le serment, la sagesse politique,|Quand on a passé son temps à subir sur la terre le spectacle des grands airs que prennent la raison d'état, le serment, la sagesse politique,|8.47
lesmis/lesmis_1661.wav|la justice humaine, les probités professionnelles, les austérités de situation, les robes incorruptibles, cela soulage d'entrer dans un égout et de voir de la fange qui en convient.|la justice humaine, les probités professionnelles, les austérités de situation, les robes incorruptibles, cela soulage d'entrer dans un égout et de voir de la fange qui en convient.|13.07
lesmis/lesmis_1662.wav|Cela enseigne en même temps. Nous l'avons dit tout à l'heure, l'histoire passe par l'égout.|Cela enseigne en même temps. Nous l'avons dit tout à l'heure, l'histoire passe par l'égout.|6.19
lesmis/lesmis_1663.wav|Les Saint-Barthélemy y filtrent goutte à goutte entre les pavés.|Les Saint-Barthélemy y filtrent goutte à goutte entre les pavés.|4.43
lesmis/lesmis_1664.wav|Les grands assassinats publics, les boucheries politiques et religieuses, traversent ce souterrain de la civilisation et y poussent leurs cadavres.|Les grands assassinats publics, les boucheries politiques et religieuses, traversent ce souterrain de la civilisation et y poussent leurs cadavres.|9.51
lesmis/lesmis_1665.wav|Pour l'oeil du songeur, tous les meurtriers historiques sont là, dans la pénombre hideuse, à genoux, avec un pan de leur suaire pour tablier,|Pour l'oeil du songeur, tous les meurtriers historiques sont là, dans la pénombre hideuse, à genoux, avec un pan de leur suaire pour tablier,|9.17
lesmis/lesmis_1666.wav|épongeant lugubrement leur besogne. Louis XI y est avec Tristan, François Ier y est avec Duprat,|épongeant lugubrement leur besogne. Louis XI y est avec Tristan, François Ier y est avec Duprat,|8.61
lesmis/lesmis_1667.wav|Charles IX y est avec sa mère, Richelieu y est avec Louis XIII, Louvois y est, Letellier y est,|Charles IX y est avec sa mère, Richelieu y est avec Louis XIII, Louvois y est, Letellier y est,|8.93
lesmis/lesmis_1668.wav|Hébert et Maillard y sont, grattant les pierres et tâchant de faire disparaître la trace de leurs actions.|Hébert et Maillard y sont, grattant les pierres et tâchant de faire disparaître la trace de leurs actions.|7.82
lesmis/lesmis_1669.wav|On entend sous ces voûtes le balai de ces spectres. On y respire la fétidité énorme des catastrophes sociales.|On entend sous ces voûtes le balai de ces spectres. On y respire la fétidité énorme des catastrophes sociales.|7.57
lesmis/lesmis_1670.wav|On voit dans des coins des miroitements rougeâtres. Il coule là une eau terrible où se sont lavées des mains sanglantes.|On voit dans des coins des miroitements rougeâtres. Il coule là une eau terrible où se sont lavées des mains sanglantes.|8.2
lesmis/lesmis_1671.wav|L'observateur social doit entrer dans ces ombres. Elles font partie de son laboratoire. La philosophie est le microscope de la pensée.|L'observateur social doit entrer dans ces ombres. Elles font partie de son laboratoire. La philosophie est le microscope de la pensée.|8.57
lesmis/lesmis_1672.wav|Tout veut la fuir, mais rien ne lui échappe. Tergiverser est inutile. Quel côté de soi montre-t-on en tergiversant?|Tout veut la fuir, mais rien ne lui échappe. Tergiverser est inutile. Quel côté de soi montre-t-on en tergiversant?|9.71
lesmis/lesmis_1673.wav|le côté honte. La philosophie poursuit de son regard probe le mal, et ne lui permet pas de s'évader dans le néant.|le côté honte. La philosophie poursuit de son regard probe le mal, et ne lui permet pas de s'évader dans le néant.|8.56
lesmis/lesmis_1674.wav|Dans l'effacement des choses qui disparaissent, dans le rapetissement des choses qui s'évanouissent, elle reconnaît tout.|Dans l'effacement des choses qui disparaissent, dans le rapetissement des choses qui s'évanouissent, elle reconnaît tout.|7.45
lesmis/lesmis_1675.wav|Elle reconstruit la pourpre d'après le haillon et la femme d'après le chiffon.|Elle reconstruit la pourpre d'après le haillon et la femme d'après le chiffon.|5.59
lesmis/lesmis_1676.wav|Avec le cloaque elle refait la ville; avec la boue elle refait les moeurs. Du tesson elle conclut l'amphore, ou la cruche.|Avec le cloaque elle refait la ville; avec la boue elle refait les moeurs. Du tesson elle conclut l'amphore, ou la cruche.|9.26
lesmis/lesmis_1677.wav|Elle reconnaît à une empreinte d'ongle sur un parchemin la différence qui sépare la juiverie de la Judengasse de la juiverie du Ghetto.|Elle reconnaît à une empreinte d'ongle sur un parchemin la différence qui sépare la juiverie de la Judengasse de la juiverie du Ghetto.|9.62
lesmis/lesmis_1678.wav|Elle retrouve dans ce qui reste ce qui a été, le bien, le mal, le faux, le vrai, la tache de sang du palais, le pâté d'encre de la caverne,|Elle retrouve dans ce qui reste ce qui a été, le bien, le mal, le faux, le vrai, la tache de sang du palais, le pâté d'encre de la caverne,|9.96
lesmis/lesmis_1679.wav|la goutte de suif du lupanar, les épreuves subies, les tentations bien venues, les orgies vomies, le pli qu'ont fait les caractères en s'abaissant,|la goutte de suif du lupanar, les épreuves subies, les tentations bien venues, les orgies vomies, le pli qu'ont fait les caractères en s'abaissant,|9.98
lesmis/lesmis_1680.wav|la trace de la prostitution dans les âmes que leur grossièreté en faisait capables, et sur la veste des portefaix de Rome la marque du coup de coude de Messaline.|la trace de la prostitution dans les âmes que leur grossièreté en faisait capables, et sur la veste des portefaix de Rome la marque du coup de coude de Messaline.|11.48
